Flat_Price,EMI_Starts,BHK,Location,Total_sq.ft,Price_per_sq.ft,EMI,Flat_Price_K
1.12 Cr,55.60 K,7,Barrackpore,2800,4,55.6,11200
83.0 L,41.21 K,5,Diamond Harbour,4600,1.8,41.21,8300
32.05 L,16.97 K,3,Joka,1408,2.28,16.97,3205
43.0 L,22.77 K,3,Behala,1040,4.13,22.77,4300
1.6 Cr,79.43 K,6,Santoshpur,2100,7.62,79.43,16000
71.0 L,37.60 K,2,Bishnupur,5820,1.22,37.6,7100
2.45 Cr,1.22 Lacs,10,Bhatpara,5220,4.69,122,24500
90.0 L,44.68 K,6,Maheshtala,850,10.59,44.68,9000
15.0 L,7.94 K,2,Talbanda,600,2.5,7.94,1500
18.0 L,9.53 K,2,Bira,1440,1.25,9.53,1800
95.0 L,47.16 K,6,Habra,1250,7.6,47.16,9500
36.0 L,19.06 K,3,Barasat,1180,3.05,19.06,3600
20.0 L,10.59 K,3,Barabazar Market,1000,2,10.59,2000
65.0 L,34.42 K,3,Bhatenda,1188,5.47,34.42,6500
18.0 L,9.53 K,2,Narendrapur,1300,1.38,9.53,1800
50.0 L,26.48 K,2,Kalyan Nagar,1460,3.42,26.48,5000
1.2 Cr,59.58 K,3,Nayabad,1600,7.5,59.58,12000
3.5 Cr,1.74 Lacs,4,Raghunathpur,2160,16.2,174,35000
38.0 L,20.12 K,2,Barasat,900,4.22,20.12,3800
43.0 L,22.77 K,3,Netaji Nagar,620,6.93,22.77,4300
80.0 L,39.72 K,3,Rahara,1800,4.44,39.72,8000
1.12 Cr,55.60 K,7,Barrackpore,2800,4,55.6,11200
83.0 L,41.21 K,5,Diamond Harbour,4600,1.8,41.21,8300
32.05 L,16.97 K,3,Joka,1408,2.28,16.97,3205
43.0 L,22.77 K,3,Behala,1040,4.13,22.77,4300
1.6 Cr,79.43 K,6,Santoshpur,2100,7.62,79.43,16000
71.0 L,37.60 K,2,Bishnupur,5820,1.22,37.6,7100
2.45 Cr,1.22 Lacs,10,Bhatpara,5220,4.69,122,24500
90.0 L,44.68 K,6,Maheshtala,850,10.59,44.68,9000
15.0 L,7.94 K,2,Talbanda,600,2.5,7.94,1500
18.0 L,9.53 K,2,Bira,1440,1.25,9.53,1800
95.0 L,47.16 K,6,Habra,1250,7.6,47.16,9500
36.0 L,19.06 K,3,Barasat,1180,3.05,19.06,3600
20.0 L,10.59 K,3,Barabazar Market,1000,2,10.59,2000
65.0 L,34.42 K,3,Bhatenda,1188,5.47,34.42,6500
18.0 L,9.53 K,2,Narendrapur,1300,1.38,9.53,1800
50.0 L,26.48 K,2,Kalyan Nagar,1460,3.42,26.48,5000
1.2 Cr,59.58 K,3,Nayabad,1600,7.5,59.58,12000
5.5 Cr,2.73 Lacs,5,Gariahat,6200,8.87,273,55000
3.0 Cr,1.49 Lacs,7,Thakurpukur,4000,7.5,149,30000
12.0 Cr,5.96 Lacs,10,Jorasanko,7300,16.44,596,120000
2.9 Cr,1.44 Lacs,6,Lake Gardens,5000,5.8,144,29000
5.5 Cr,2.73 Lacs,8,Gariahat,6538,8.41,273,55000
60.0 L,31.77 K,5,Dum Dum,1500,4,31.77,6000
5.5 Cr,2.73 Lacs,6,Jodhpur Park,3000,18.33,273,55000
5.0 Cr,2.48 Lacs,6,Kolkata,3000,16.67,248,50000
28.0 L,14.83 K,1,Khardah,1000,2.8,14.83,2800
20.0 Cr,9.93 Lacs,10,Bow Bazaar,15000,13.33,993,200000
1.0 Cr,49.65 K,2,Khariberia,222,45.05,49.65,10000
47.0 L,24.89 K,3,Purba Barisha,1350,3.48,24.89,4700
85.0 L,42.20 K,9,Kolkata,3300,2.58,42.2,8500
16.1 L,8.53 K,1,Joka,450,3.58,8.53,1610
5.0 Cr,2.48 Lacs,10,Bow Bazaar,5154,9.7,248,50000
1.4 Cr,69.50 K,5,Ariadaha,2500,5.6,69.5,14000
52.0 L,27.54 K,4,Rahara,1200,4.33,27.54,5200
1.4 Cr,69.50 K,6,Ariadaha,2858,4.9,69.5,14000
65.0 L,34.42 K,8,East Kolkata Township,2800,2.32,34.42,6500
65.0 L,34.42 K,5,East Kolkata Township,2345,2.77,34.42,6500
75.0 L,39.72 K,5,Maheshtala,2600,2.88,39.72,7500
85.0 L,42.20 K,3,Rahara,1800,4.72,42.2,8500
95.0 L,47.16 K,3,Agarpara,3000,3.17,47.16,9500
32.05 L,16.97 K,3,Joka,1408,2.28,16.97,3205
71.0 L,37.60 K,2,Bishnupur,5820,1.22,37.6,7100
5.5 Cr,2.73 Lacs,5,Gariahat,6200,8.87,273,55000
3.0 Cr,1.49 Lacs,7,Thakurpukur,4000,7.5,149,30000
12.0 Cr,5.96 Lacs,10,Jorasanko,7300,16.44,596,120000
2.9 Cr,1.44 Lacs,6,Lake Gardens,5000,5.8,144,29000
5.5 Cr,2.73 Lacs,8,Gariahat,6538,8.41,273,55000
60.0 L,31.77 K,5,Dum Dum,1500,4,31.77,6000
5.5 Cr,2.73 Lacs,6,Jodhpur Park,3000,18.33,273,55000
5.0 Cr,2.48 Lacs,6,Kolkata,3000,16.67,248,50000
28.0 L,14.83 K,1,Khardah,1000,2.8,14.83,2800
20.0 Cr,9.93 Lacs,10,Bow Bazaar,15000,13.33,993,200000
1.0 Cr,49.65 K,2,Khariberia,222,45.05,49.65,10000
47.0 L,24.89 K,3,Purba Barisha,1350,3.48,24.89,4700
85.0 L,42.20 K,9,Kolkata,3300,2.58,42.2,8500
16.1 L,8.53 K,1,Joka,450,3.58,8.53,1610
5.0 Cr,2.48 Lacs,10,Bow Bazaar,5154,9.7,248,50000
1.4 Cr,69.50 K,5,Ariadaha,2500,5.6,69.5,14000
52.0 L,27.54 K,4,Rahara,1200,4.33,27.54,5200
1.4 Cr,69.50 K,6,Ariadaha,2858,4.9,69.5,14000
65.0 L,34.42 K,8,East Kolkata Township,2800,2.32,34.42,6500
65.0 L,34.42 K,5,East Kolkata Township,2345,2.77,34.42,6500
60.0 L,31.77 K,2,Maheshtala,1260,4.76,31.77,6000
60.0 L,31.77 K,7,Bagmari,2500,2.4,31.77,6000
47.0 L,24.89 K,2,Kamardanga,1125,4.18,24.89,4700
47.0 L,24.89 K,2,Kamardanga,1200,3.92,24.89,4700
1.0 Cr,49.65 K,5,Ichapur,2510,3.98,49.65,10000
33.0 L,17.48 K,2,Adarsha Nagar,1200,2.75,17.48,3300
25.5 L,13.50 K,3,Belghoria,1200,2.13,13.5,2550
20.0 L,10.59 K,2,Joka,740,2.7,10.59,2000
55.0 L,29.13 K,4,Barrackpore,1600,3.44,29.13,5500
1.4 Cr,69.50 K,3,Jorasanko,650,21.54,69.5,14000
1.0 Cr,49.65 K,6,Barrackpore,2500,4,49.65,10000
18.0 L,9.53 K,2,Rajpur Sonarpur,1080,1.67,9.53,1800
7.0 L,3.71 K,2,Garia,200,3.5,3.71,700
1.2 Cr,59.58 K,6,Habra,1225,9.79,59.58,12000
57.0 L,30.18 K,4,Rajarhat,1610,3.54,30.18,5700
1.4 Cr,69.50 K,7,Rajpur Sonarpur,4200,3.33,69.5,14000
2.5 Cr,1.24 Lacs,2,Hussainpur,3000,8.33,124,25000
80.0 L,39.72 K,3,Behala,2000,4,39.72,8000
54.0 L,28.60 K,4,Malickpur,1350,4,28.6,5400
30.0 L,15.89 K,2,Dunlop,900,3.33,15.89,3000
3.5 Cr,1.74 Lacs,4,Raghunathpur,2160,16.2,174,35000
2.9 Cr,1.44 Lacs,6,Lake Gardens,5000,5.8,144,29000
5.0 Cr,2.48 Lacs,6,Kolkata,3000,16.67,248,50000
5.0 Cr,2.48 Lacs,10,Bow Bazaar,5154,9.7,248,50000
1.4 Cr,69.50 K,5,Ariadaha,2500,5.6,69.5,14000
60.0 L,31.77 K,2,Maheshtala,1260,4.76,31.77,6000
60.0 L,31.77 K,7,Bagmari,2500,2.4,31.77,6000
47.0 L,24.89 K,2,Kamardanga,1125,4.18,24.89,4700
47.0 L,24.89 K,2,Kamardanga,1200,3.92,24.89,4700
1.0 Cr,49.65 K,5,Ichapur,2510,3.98,49.65,10000
33.0 L,17.48 K,2,Adarsha Nagar,1200,2.75,17.48,3300
25.5 L,13.50 K,3,Belghoria,1200,2.13,13.5,2550
20.0 L,10.59 K,2,Joka,740,2.7,10.59,2000
55.0 L,29.13 K,4,Barrackpore,1600,3.44,29.13,5500
1.4 Cr,69.50 K,3,Jorasanko,650,21.54,69.5,14000
1.0 Cr,49.65 K,6,Barrackpore,2500,4,49.65,10000
18.0 L,9.53 K,2,Rajpur Sonarpur,1080,1.67,9.53,1800
7.0 L,3.71 K,2,Garia,200,3.5,3.71,700
1.2 Cr,59.58 K,6,Habra,1225,9.79,59.58,12000
57.0 L,30.18 K,4,Rajarhat,1610,3.54,30.18,5700
1.4 Cr,69.50 K,7,Rajpur Sonarpur,4200,3.33,69.5,14000
2.5 Cr,1.24 Lacs,2,Hussainpur,3000,8.33,124,25000
80.0 L,39.72 K,3,Behala,2000,4,39.72,8000
54.0 L,28.60 K,4,Malickpur,1350,4,28.6,5400
30.0 L,15.89 K,2,Dunlop,900,3.33,15.89,3000
34.0 L,18.00 K,2,Maheshtala,976,3.48,18,3400
17.0 L,9.00 K,2,Agarpara,400,4.25,9,1700
65.0 L,34.42 K,5,Barasat,2279,2.85,34.42,6500
17.0 L,9.00 K,2,Agarpara,450,3.78,9,1700
60.0 L,31.77 K,3,Sinthi,12000,500/sq.ft,31.77,6000
60.0 L,31.77 K,3,Sinthi,10000,600/sq.ft,31.77,6000
2.0 Cr,99.29 K,10,Hedua,1440,13.89,99.29,20000
90.0 L,44.68 K,4,Bhatpara,1500,6,44.68,9000
25.0 L,13.24 K,3,Champahati,2000,1.25,13.24,2500
40.5 L,21.45 K,2,Beliaghata,680,5.96,21.45,4050
40.0 L,21.18 K,3,Khardah,880,4.54,21.18,4000
38.0 L,20.12 K,6,Dum Dum,3500,1.08,20.12,3800
1.9 Cr,94.33 K,5,Kolkata,4000,4.75,94.33,19000
23.0 L,12.18 K,2,Malickpur,500,4.6,12.18,2300
1.35 Cr,67.02 K,3,Netaji Nagar,1700,7.94,67.02,13500
1.5 Cr,74.47 K,9,Baguiati,3000,5,74.47,15000
13.5 L,7.15 K,1,Topsia,700,1.93,7.15,1350
24.0 L,12.71 K,2,Ariadaha,740,3.24,12.71,2400
39.5 L,20.92 K,1,Birati,450,8.78,20.92,3950
60.0 L,31.77 K,3,Baghajatin,1050,5.71,31.77,6000
34.0 L,18.00 K,2,Maheshtala,976,3.48,18,3400
17.0 L,9.00 K,2,Agarpara,400,4.25,9,1700
65.0 L,34.42 K,5,Barasat,2279,2.85,34.42,6500
17.0 L,9.00 K,2,Agarpara,450,3.78,9,1700
60.0 L,31.77 K,3,Sinthi,12000,500/sq.ft,31.77,6000
60.0 L,31.77 K,3,Sinthi,10000,600/sq.ft,31.77,6000
2.0 Cr,99.29 K,10,Hedua,1440,13.89,99.29,20000
90.0 L,44.68 K,4,Bhatpara,1500,6,44.68,9000
25.0 L,13.24 K,3,Champahati,2000,1.25,13.24,2500
40.5 L,21.45 K,2,Beliaghata,680,5.96,21.45,4050
40.0 L,21.18 K,3,Khardah,880,4.54,21.18,4000
38.0 L,20.12 K,6,Dum Dum,3500,1.08,20.12,3800
1.9 Cr,94.33 K,5,Kolkata,4000,4.75,94.33,19000
23.0 L,12.18 K,2,Malickpur,500,4.6,12.18,2300
1.35 Cr,67.02 K,3,Netaji Nagar,1700,7.94,67.02,13500
1.5 Cr,74.47 K,9,Baguiati,3000,5,74.47,15000
13.5 L,7.15 K,1,Topsia,700,1.93,7.15,1350
24.0 L,12.71 K,2,Ariadaha,740,3.24,12.71,2400
39.5 L,20.92 K,1,Birati,450,8.78,20.92,3950
60.0 L,31.77 K,3,Baghajatin,1050,5.71,31.77,6000
14.0 L,7.41 K,2,Malickpur,750,1.87,7.41,1400
17.0 L,9.00 K,2,Baranagar,450,3.78,9,1700
45.0 L,23.83 K,1,Maheshtala,3000,1.5,23.83,4500
75.0 L,39.72 K,6,Behala,2000,3.75,39.72,7500
1.0 Cr,49.65 K,7,Kasba,2400,4.17,49.65,10000
38.0 L,20.12 K,2,Rajpur Sonarpur,1000,3.8,20.12,3800
45.0 L,23.83 K,2,South Dum Dum,920,4.89,23.83,4500
90.0 L,44.68 K,3,Bhatpara,2160,4.17,44.68,9000
45.0 L,23.83 K,2,Pansila,2095,2.15,23.83,4500
95.0 L,47.16 K,2,Bhatpara,1500,6.33,47.16,9500
12.0 Cr,5.96 Lacs,10,Dum Dum,9000,13.33,596,120000
5.5 Cr,2.73 Lacs,5,Gariahat,6000,9.17,273,55000
95.0 L,47.16 K,4,Birati,2520,3.77,47.16,9500
1.4 Cr,69.50 K,8,Barrackpore,3350,4.18,69.5,14000
50.0 L,26.48 K,3,Taltala,1100,4.54,26.48,5000
2.0 Cr,99.29 K,10,Garulia,9000,2.22,99.29,20000
15.0 L,7.94 K,2,Rania,1440,1.04,7.94,1500
59.0 L,31.24 K,3,New Town,882,6.69,31.24,5900
1.75 Cr,86.88 K,2,Dhakuria,2000,8.75,86.88,17500
30.0 L,15.89 K,3,Joka,1440,2.08,15.89,3000
14.0 L,7.41 K,2,Malickpur,750,1.87,7.41,1400
17.0 L,9.00 K,2,Baranagar,450,3.78,9,1700
45.0 L,23.83 K,1,Maheshtala,3000,1.5,23.83,4500
75.0 L,39.72 K,6,Behala,2000,3.75,39.72,7500
1.0 Cr,49.65 K,7,Kasba,2400,4.17,49.65,10000
38.0 L,20.12 K,2,Rajpur Sonarpur,1000,3.8,20.12,3800
45.0 L,23.83 K,2,South Dum Dum,920,4.89,23.83,4500
90.0 L,44.68 K,3,Bhatpara,2160,4.17,44.68,9000
45.0 L,23.83 K,2,Pansila,2095,2.15,23.83,4500
95.0 L,47.16 K,2,Bhatpara,1500,6.33,47.16,9500
12.0 Cr,5.96 Lacs,10,Dum Dum,9000,13.33,596,120000
5.5 Cr,2.73 Lacs,5,Gariahat,6000,9.17,273,55000
95.0 L,47.16 K,4,Birati,2520,3.77,47.16,9500
1.4 Cr,69.50 K,8,Barrackpore,3350,4.18,69.5,14000
50.0 L,26.48 K,3,Taltala,1100,4.54,26.48,5000
2.0 Cr,99.29 K,10,Garulia,9000,2.22,99.29,20000
15.0 L,7.94 K,2,Rania,1440,1.04,7.94,1500
59.0 L,31.24 K,3,New Town,882,6.69,31.24,5900
1.75 Cr,86.88 K,2,Dhakuria,2000,8.75,86.88,17500
30.0 L,15.89 K,3,Joka,1440,2.08,15.89,3000
80.0 L,39.72 K,2,Barrackpore,850,9.41,39.72,8000
35.0 L,18.53 K,5,Paschim Putiary,1440,2.43,18.53,3500
40.0 L,21.18 K,6,College Square,2200,1.82,21.18,4000
1.1 Cr,54.61 K,3,Barisha,2000,5.5,54.61,11000
60.0 L,31.77 K,7,Chandpara,2000,3,31.77,6000
45.0 L,23.83 K,2,Rajpur Sonarpur,1100,4.09,23.83,4500
62.0 L,32.83 K,2,Madhyamgram,1800,3.44,32.83,6200
42.0 L,22.24 K,4,Behala,1079,3.89,22.24,4200
80.0 L,39.72 K,3,Maheshtala,5040,1.59,39.72,8000
1.5 Cr,74.47 K,7,South Dum Dum,3400,4.41,74.47,15000
80.0 L,39.72 K,1,Behala,2800,2.86,39.72,8000
77.0 L,38.23 K,5,Joka,1140,6.75,38.23,7700
52.0 L,27.54 K,2,Belghoria,1000,5.2,27.54,5200
38.0 L,20.12 K,3,Agarpara,1250,3.04,20.12,3800
2.0 Cr,99.29 K,4,Lake Town,1600,12.5,99.29,20000
2.5 Cr,1.24 Lacs,9,Sodepur,5200,4.81,124,25000
30.0 L,15.89 K,3,Kokapur,1200,2.5,15.89,3000
3.5 Cr,1.74 Lacs,6,Park Street Area,1100,31.82,174,35000
16.55 L,8.76 K,2,Baranagar,450,3.68,8.76,1655
6.0 Cr,2.98 Lacs,6,Salt Lake City,5000,12,298,60000
35.0 L,18.53 K,5,Paschim Putiary,1440,2.43,18.53,3500
40.0 L,21.18 K,6,College Square,2200,1.82,21.18,4000
1.1 Cr,54.61 K,3,Barisha,2000,5.5,54.61,11000
60.0 L,31.77 K,7,Chandpara,2000,3,31.77,6000
45.0 L,23.83 K,2,Rajpur Sonarpur,1100,4.09,23.83,4500
62.0 L,32.83 K,2,Madhyamgram,1800,3.44,32.83,6200
42.0 L,22.24 K,4,Behala,1079,3.89,22.24,4200
80.0 L,39.72 K,3,Maheshtala,5040,1.59,39.72,8000
1.5 Cr,74.47 K,7,South Dum Dum,3400,4.41,74.47,15000
80.0 L,39.72 K,1,Behala,2800,2.86,39.72,8000
77.0 L,38.23 K,5,Joka,1140,6.75,38.23,7700
52.0 L,27.54 K,2,Belghoria,1000,5.2,27.54,5200
38.0 L,20.12 K,3,Agarpara,1250,3.04,20.12,3800
2.0 Cr,99.29 K,4,Lake Town,1600,12.5,99.29,20000
2.5 Cr,1.24 Lacs,9,Sodepur,5200,4.81,124,25000
30.0 L,15.89 K,3,Kokapur,1200,2.5,15.89,3000
3.5 Cr,1.74 Lacs,6,Park Street Area,1100,31.82,174,35000
16.55 L,8.76 K,2,Baranagar,450,3.68,8.76,1655
6.0 Cr,2.98 Lacs,6,Salt Lake City,5000,12,298,60000
1.25 Cr,62.06 K,3,Belghoria,1650,7.58,62.06,12500
20.0 L,10.59 K,2,South Dum Dum,600,3.33,10.59,2000
20.0 L,10.59 K,1,Bhatpara,1000,2,10.59,2000
29.0 L,15.36 K,3,Bagpota,1500,1.93,15.36,2900
40.0 L,21.18 K,3,Chowbaga,1150,3.48,21.18,4000
24.0 L,12.71 K,3,Nimta,1200,2,12.71,2400
15.0 L,7.94 K,3,Purba Putiary,1800,833/sq.ft,7.94,1500
3.5 L,1.85 K,3,Netaji Nagar,1000,350/sq.ft,1.85,350
1.45 Cr,71.99 K,3,Regent Park,1500,9.67,71.99,14500
1.5 Cr,74.47 K,7,Chowbaga,2550,5.88,74.47,15000
35.0 L,18.53 K,3,Dakshineswar,1200,2.92,18.53,3500
60.0 L,31.77 K,6,Beniatola,1050,5.71,31.77,6000
34.0 L,18.00 K,3,Garia,1250,2.72,18,3400
3.1 Cr,1.54 Lacs,9,Kalighat,4000,7.75,154,31000
2.0 Cr,99.29 K,4,Gariahat,1100,18.18,99.29,20000
27.0 L,14.30 K,4,Khardah,2722,991/sq.ft,14.3,2700
48.0 L,25.42 K,2,Keshtopur,997,4.81,25.42,4800
15.0 L,7.94 K,3,South Dum Dum,800,1.88,7.94,1500
50.0 L,26.48 K,3,Bira,1400,3.57,26.48,5000
1.2 Cr,59.58 K,5,Jugberia,2500,4.8,59.58,12000
1.25 Cr,62.06 K,3,Belghoria,1650,7.58,62.06,12500
20.0 L,10.59 K,2,South Dum Dum,600,3.33,10.59,2000
20.0 L,10.59 K,1,Bhatpara,1000,2,10.59,2000
29.0 L,15.36 K,3,Bagpota,1500,1.93,15.36,2900
40.0 L,21.18 K,3,Chowbaga,1150,3.48,21.18,4000
24.0 L,12.71 K,3,Nimta,1200,2,12.71,2400
15.0 L,7.94 K,3,Purba Putiary,1800,833/sq.ft,7.94,1500
3.5 L,1.85 K,3,Netaji Nagar,1000,350/sq.ft,1.85,350
1.45 Cr,71.99 K,3,Regent Park,1500,9.67,71.99,14500
1.5 Cr,74.47 K,7,Chowbaga,2550,5.88,74.47,15000
35.0 L,18.53 K,3,Dakshineswar,1200,2.92,18.53,3500
60.0 L,31.77 K,6,Beniatola,1050,5.71,31.77,6000
34.0 L,18.00 K,3,Garia,1250,2.72,18,3400
3.1 Cr,1.54 Lacs,9,Kalighat,4000,7.75,154,31000
2.0 Cr,99.29 K,4,Gariahat,1100,18.18,99.29,20000
27.0 L,14.30 K,4,Khardah,2722,991/sq.ft,14.3,2700
48.0 L,25.42 K,2,Keshtopur,997,4.81,25.42,4800
15.0 L,7.94 K,3,South Dum Dum,800,1.88,7.94,1500
50.0 L,26.48 K,3,Bira,1400,3.57,26.48,5000
1.2 Cr,59.58 K,5,Jugberia,2500,4.8,59.58,12000
60.0 L,31.77 K,2,Badartala,1200,5,31.77,6000
60.0 L,31.77 K,4,Naihati,1943,3.09,31.77,6000
45.0 L,23.83 K,2,Narendrapur,780,5.77,23.83,4500
90.0 L,44.68 K,6,Diamond Harbour,2200,4.09,44.68,9000
1.8 Cr,89.36 K,9,Kasba,4500,4,89.36,18000
27.0 L,14.30 K,2,Baranagar,774,3.49,14.3,2700
37.0 L,19.59 K,2,Barasat,950,3.89,19.59,3700
60.0 L,31.77 K,10,Maheshtala,2534,2.37,31.77,6000
1.1 Cr,54.61 K,3,Amtala,1400,7.86,54.61,11000
42.0 L,22.24 K,3,Baguiati,1260,3.33,22.24,4200
1.2 Cr,59.58 K,4,Bhatpara,3000,4,59.58,12000
5.0 L,2.65 K,2,Dunlop,900,555/sq.ft,2.65,500
1.0 Cr,49.65 K,6,Ichapur,2507,3.99,49.65,10000
75.0 L,39.72 K,5,Madhyamgram,2200,3.41,39.72,7500
16.0 L,8.47 K,2,Baranagar,400,4,8.47,1600
46.0 L,24.36 K,3,Rajpur Sonarpur,1900,2.42,24.36,4600
50.0 L,26.48 K,5,Keshtopur,1800,2.78,26.48,5000
1.0 Cr,49.65 K,4,South Dum Dum,3000,3.33,49.65,10000
40.0 L,21.18 K,4,Keshtopur,1800,2.22,21.18,4000
60.0 L,31.77 K,2,Badartala,1200,5,31.77,6000
60.0 L,31.77 K,4,Naihati,1943,3.09,31.77,6000
45.0 L,23.83 K,2,Narendrapur,780,5.77,23.83,4500
90.0 L,44.68 K,6,Diamond Harbour,2200,4.09,44.68,9000
1.8 Cr,89.36 K,9,Kasba,4500,4,89.36,18000
27.0 L,14.30 K,2,Baranagar,774,3.49,14.3,2700
37.0 L,19.59 K,2,Barasat,950,3.89,19.59,3700
60.0 L,31.77 K,10,Maheshtala,2534,2.37,31.77,6000
1.1 Cr,54.61 K,3,Amtala,1400,7.86,54.61,11000
42.0 L,22.24 K,3,Baguiati,1260,3.33,22.24,4200
1.2 Cr,59.58 K,4,Bhatpara,3000,4,59.58,12000
5.0 L,2.65 K,2,Dunlop,900,555/sq.ft,2.65,500
1.0 Cr,49.65 K,6,Ichapur,2507,3.99,49.65,10000
75.0 L,39.72 K,5,Madhyamgram,2200,3.41,39.72,7500
16.0 L,8.47 K,2,Baranagar,400,4,8.47,1600
46.0 L,24.36 K,3,Rajpur Sonarpur,1900,2.42,24.36,4600
50.0 L,26.48 K,5,Keshtopur,1800,2.78,26.48,5000
1.0 Cr,49.65 K,4,South Dum Dum,3000,3.33,49.65,10000
40.0 L,21.18 K,4,Keshtopur,1800,2.22,21.18,4000
46.0 L,24.36 K,3,Rajpur Sonarpur,1900,2.42,24.36,4600
25.0 Cr,12.41 Lacs,8,Pailan,15000,16.67,1241,250000
65.0 L,34.42 K,4,Behala,2970,2.19,34.42,6500
28.0 L,14.83 K,2,Rajarhat,1619,1.73,14.83,2800
47.0 L,24.89 K,4,Madhyamgram,1700,2.76,24.89,4700
1.7 Cr,84.40 K,7,Kolkata,4000,4.25,84.4,17000
60.0 L,31.77 K,5,Thakurpukur,3400,1.76,31.77,6000
32.0 L,16.95 K,2,Budge Budge,1440,2.22,16.95,3200
1.0 Cr,49.65 K,3,Nabapally,1500,6.67,49.65,10000
1.8 Cr,89.36 K,6,Haltu,3720,4.84,89.36,18000
1.0 Cr,49.65 K,3,New Town,1900,5.26,49.65,10000
2.0 Cr,99.29 K,3,Kalighat,2200,9.09,99.29,20000
35.0 L,18.53 K,2,Kolkata,1370,2.55,18.53,3500
45.0 L,23.83 K,6,Ward No 113,1440,3.13,23.83,4500
39.0 L,20.65 K,3,Rajpur Sonarpur,2880,1.35,20.65,3900
40.0 L,21.18 K,2,Tollygunge,800,5,21.18,4000
40.0 L,21.18 K,2,Habra,2000,2,21.18,4000
1.75 Cr,86.88 K,5,Pancha Sayar,3000,5.83,86.88,17500
55.56 L,29.42 K,2,Purba Putiary,1851,3,29.42,5556
1.4 Cr,69.50 K,3,Jorasanko,650,21.54,69.5,14000
20.0 L,10.59 K,1,Bhatpara,1000,2,10.59,2000
46.0 L,24.36 K,3,Rajpur Sonarpur,1900,2.42,24.36,4600
25.0 Cr,12.41 Lacs,8,Pailan,15000,16.67,1241,250000
65.0 L,34.42 K,4,Behala,2970,2.19,34.42,6500
28.0 L,14.83 K,2,Rajarhat,1619,1.73,14.83,2800
47.0 L,24.89 K,4,Madhyamgram,1700,2.76,24.89,4700
1.7 Cr,84.40 K,7,Kolkata,4000,4.25,84.4,17000
60.0 L,31.77 K,5,Thakurpukur,3400,1.76,31.77,6000
32.0 L,16.95 K,2,Budge Budge,1440,2.22,16.95,3200
1.0 Cr,49.65 K,3,Nabapally,1500,6.67,49.65,10000
1.8 Cr,89.36 K,6,Haltu,3720,4.84,89.36,18000
1.0 Cr,49.65 K,3,New Town,1900,5.26,49.65,10000
2.0 Cr,99.29 K,3,Kalighat,2200,9.09,99.29,20000
35.0 L,18.53 K,2,Kolkata,1370,2.55,18.53,3500
45.0 L,23.83 K,6,Ward No 113,1440,3.13,23.83,4500
39.0 L,20.65 K,3,Rajpur Sonarpur,2880,1.35,20.65,3900
40.0 L,21.18 K,2,Tollygunge,800,5,21.18,4000
40.0 L,21.18 K,2,Habra,2000,2,21.18,4000
1.75 Cr,86.88 K,5,Pancha Sayar,3000,5.83,86.88,17500
55.56 L,29.42 K,2,Purba Putiary,1851,3,29.42,5556
35.0 L,18.53 K,4,Madhyamgram,1420,2.46,18.53,3500
18.0 L,9.53 K,2,Sodepur,1080,1.67,9.53,1800
3.5 Cr,1.74 Lacs,8,Nimta,2700,12.96,174,35000
40.0 L,21.18 K,3,Barrackpore,1400,2.86,21.18,4000
50.0 L,26.48 K,7,Bangaon,14400,347/sq.ft,26.48,5000
38.0 L,20.12 K,4,Nimta,1200,3.17,20.12,3800
1.12 Cr,55.60 K,4,Kalighat,1600,7,55.6,11200
70.0 L,37.07 K,5,Sinthi,12000,583/sq.ft,37.07,7000
29.0 L,15.36 K,2,Halisahar,900,3.22,15.36,2900
2.0 Cr,99.29 K,6,Birati,4400,4.54,99.29,20000
80.0 L,39.72 K,3,Naihati,900,8.89,39.72,8000
2.0 Cr,99.29 K,4,Birati,4500,4.44,99.29,20000
100.0 L,49.65 K,10,Nimta,3200,3.12,49.65,10000
32.0 L,16.95 K,2,Halisahar,878,3.64,16.95,3200
9.0 Cr,4.47 Lacs,5,Joka,15000,6,447,90000
85.0 L,42.20 K,5,Sarsuna,3000,2.83,42.2,8500
50.0 L,26.48 K,3,Bira,1000,5,26.48,5000
85.0 L,42.20 K,4,Airport,2270,3.74,42.2,8500
1.52 Cr,75.46 K,7,Rajpur Sonarpur,4800,3.17,75.46,15200
77.0 L,38.23 K,5,Joka,1140,6.75,38.23,7700
1.7 Cr,84.40 K,7,Kolkata,4000,4.25,84.4,17000
18.0 L,9.53 K,2,Sodepur,1080,1.67,9.53,1800
3.5 Cr,1.74 Lacs,8,Nimta,2700,12.96,174,35000
40.0 L,21.18 K,3,Barrackpore,1400,2.86,21.18,4000
50.0 L,26.48 K,7,Bangaon,14400,347/sq.ft,26.48,5000
38.0 L,20.12 K,4,Nimta,1200,3.17,20.12,3800
1.12 Cr,55.60 K,4,Kalighat,1600,7,55.6,11200
70.0 L,37.07 K,5,Sinthi,12000,583/sq.ft,37.07,7000
29.0 L,15.36 K,2,Halisahar,900,3.22,15.36,2900
2.0 Cr,99.29 K,6,Birati,4400,4.54,99.29,20000
80.0 L,39.72 K,3,Naihati,900,8.89,39.72,8000
2.0 Cr,99.29 K,4,Birati,4500,4.44,99.29,20000
100.0 L,49.65 K,10,Nimta,3200,3.12,49.65,10000
32.0 L,16.95 K,2,Halisahar,878,3.64,16.95,3200
