Flat_Price,EMI_Starts,BHK,Location,Total_sq.ft,Price_per_sq.ft,EMI,Flat_Price_K
2.5 Cr,1.24 Lacs,7,Salt Lake City,2640,9.47,124,25000
3.4 Cr,1.69 Lacs,9,Salt Lake City,3000,11.33,169,34000
30.0 L,15.89 K,3,Thakurpukur,1080,2.78,15.89,3000
1.5 Cr,74.47 K,4,Bansdroni,1500,10,74.47,15000
7.5 Cr,3.72 Lacs,10,Salt Lake City,4000,18.75,372,75000
1.1 Cr,54.61 K,4,Garia,2000,5.5,54.61,11000
80.0 L,39.72 K,2,New Town,1200,6.67,39.72,8000
50.0 L,26.48 K,3,Barrackpore,1215,4.12,26.48,5000
3.75 Cr,1.86 Lacs,10,Kalighat,3710,10.11,186,37500
35.0 L,18.53 K,3,Bramhapur,900,3.89,18.53,3500
1.75 Cr,86.88 K,6,Behala,5000,3.5,86.88,17500
1.6 Cr,79.43 K,9,Garia,3500,4.57,79.43,16000
85.0 L,42.20 K,2,Santoshpur,1250,6.8,42.2,8500
46.0 L,24.36 K,1,Baguiati,1357,3.39,24.36,4600
52.0 L,27.54 K,3,Netaji Nagar,1000,5.2,27.54,5200
75.0 L,39.72 K,3,Purba Barisha,1420,5.28,39.72,7500
55.0 L,29.13 K,3,Purba Barisha,1450,3.79,29.13,5500
92.0 L,45.67 K,3,Ganguly Bagan,2210,4.16,45.67,9200
70.0 L,37.07 K,4,Garia,1500,4.67,37.07,7000
2.5 Cr,1.24 Lacs,4,Salt Lake City,2340,10.68,124,25000
2.5 Cr,1.24 Lacs,7,Salt Lake City,2640,9.47,124,25000
3.4 Cr,1.69 Lacs,9,Salt Lake City,3000,11.33,169,34000
30.0 L,15.89 K,3,Thakurpukur,1080,2.78,15.89,3000
1.5 Cr,74.47 K,4,Bansdroni,1500,10,74.47,15000
7.5 Cr,3.72 Lacs,10,Salt Lake City,4000,18.75,372,75000
1.1 Cr,54.61 K,4,Garia,2000,5.5,54.61,11000
80.0 L,39.72 K,2,New Town,1200,6.67,39.72,8000
50.0 L,26.48 K,3,Barrackpore,1215,4.12,26.48,5000
3.75 Cr,1.86 Lacs,10,Kalighat,3710,10.11,186,37500
35.0 L,18.53 K,3,Bramhapur,900,3.89,18.53,3500
1.75 Cr,86.88 K,6,Behala,5000,3.5,86.88,17500
1.6 Cr,79.43 K,9,Garia,3500,4.57,79.43,16000
85.0 L,42.20 K,2,Santoshpur,1250,6.8,42.2,8500
46.0 L,24.36 K,1,Baguiati,1357,3.39,24.36,4600
52.0 L,27.54 K,3,Netaji Nagar,1000,5.2,27.54,5200
75.0 L,39.72 K,3,Purba Barisha,1420,5.28,39.72,7500
55.0 L,29.13 K,3,Purba Barisha,1450,3.79,29.13,5500
92.0 L,45.67 K,3,Ganguly Bagan,2210,4.16,45.67,9200
70.0 L,37.07 K,4,Garia,1500,4.67,37.07,7000
85.0 L,42.20 K,2,Mukundapur,3000,2.83,42.2,8500
70.0 L,37.07 K,4,Haltu,1900,3.68,37.07,7000
2.2 Cr,1.09 Lacs,7,Kalikapur,4350,5.06,109,22000
1.0 Cr,49.65 K,6,Golf Green,2000,5,49.65,10000
90.0 L,44.68 K,4,Garia,2000,4.5,44.68,9000
3.0 Cr,1.49 Lacs,6,Jodhpur Park,4500,6.67,149,30000
21.99 L,11.64 K,2,Thakurpukur,920,2.39,11.64,2199
33.0 L,17.48 K,2,New Town,972,3.4,17.48,3300
